Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Pk_save%,PSxG,PSxG/SoT,PSxG+/-,/90,launch_cmp,launch_att,launch_cmp%,pass_att,Thr,launch_pass%,pass_avglen,Gk_att,Gk_launched%,Gk_avglen,Stp,Stp%,#OPA,#OPA/90,AvgDist
Andrey Lunyov,RUS,GK,Leverkusen,Bundesliga,29,1991,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,,0.4,0.19,-0.6,-0.62,4,10,40,43,5,14,25.4,6,66.7,53.7,0,0,0,0,13
Andreas Luthe,GER,GK,Union Berlin,Bundesliga,34,1987,27,27,2430,27,39,1.44,104,68,64.4,11,7,9,6,22.2,2,2,0,0,30.5,0.29,-5.5,-0.2,163,472,34.5,784,122,43.6,36,217,59.9,44.2,29,7.3,24,0.89,12.9
Niki Mäenpää,FIN,GK,Venezia,Serie A,36,1985,17,16,1485,16.5,27,1.64,84,57,73.8,1,4,11,1,6.3,6,5,0,0,28.2,0.28,1.2,0.07,70,221,31.7,379,74,43.5,36,143,39.2,35.4,6,2.2,10,0.61,10.8
Mike Maignan,FRA,GK,Milan,Serie A,26,1995,32,32,2880,32,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,24.3,0.22,4.3,0.13,157,374,42,1005,164,31.4,33,149,38.9,36.5,25,7.2,45,1.41,16.8
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,20,2000,18,18,1620,18,20,1.11,75,55,76,5,7,6,8,44.4,2,2,0,0,21.1,0.26,1.1,0.06,115,314,36.6,346,64,57.8,41.4,149,76.5,53.7,13,4.8,29,1.61,16.3
Steve Mandanda,FRA,GK,Marseille,Ligue 1,36,1985,9,9,810,9,7,0.78,26,20,73.1,6,2,1,5,55.6,0,0,0,,6.7,0.26,0.7,0.08,40,104,38.5,332,37,23.5,28,67,38.8,34.4,6,4.4,21,2.33,19.1
Anthony Mandrea,ALG,GK,Angers,Ligue 1,24,1996,10,10,900,10,14,1.4,44,31,68.2,3,3,4,2,20,0,0,0,,12.6,0.29,-0.4,-0.04,37,139,26.6,184,37,50.5,40.5,88,52.3,45.2,8,4.3,8,0.8,11.6
Davide Marfella,ITA,GK,Napoli,Serie A,21,1999,1,0,11,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,,0.1,0.05,0.1,0.44,0,0,,1,1,0,15,0,,,0,0,0,0,
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,28,1992,36,36,3240,36,48,1.33,140,93,68.6,13,6,17,11,30.6,6,4,1,20,42.1,0.27,-3.9,-0.11,146,406,36,824,162,36.4,33.6,275,38.5,34.1,34,7.2,33,0.92,15.4
Josep Martinez,ESP,GK,RB Leipzig,Bundesliga,23,1998,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,,1.5,0.37,-1.5,-1.51,2,5,40,14,1,28.6,29.6,7,14.3,29.4,0,0,4,4,25
Luís Maximiano,POR,GK,Granada,La Liga,22,1999,35,35,3136,34.8,55,1.58,177,122,71.8,8,12,14,7,20,7,5,2,28.6,56,0.28,3,0.09,232,730,31.8,839,149,56.7,42.6,335,75.8,52.5,29,5.1,54,1.55,17.6
Alex McCarthy,ENG,GK,Southampton,Premier League,31,1989,17,17,1530,17,27,1.59,71,44,62,3,7,7,5,29.4,0,0,0,,21.5,0.31,-5.5,-0.32,74,246,30.1,383,78,40.7,34.7,125,72,50.6,22,8.6,5,0.29,9.6
Edouard Mendy,SEN,GK,Chelsea,Premier League,29,1992,34,34,3060,34,31,0.91,102,72,75.5,19,10,5,14,41.2,6,6,0,0,28.4,0.22,-1.6,-0.05,83,193,43,779,154,18.9,25.3,177,26,24.9,28,7.5,46,1.35,14.9
Alex Meret,ITA,GK,Napoli,Serie A,24,1997,7,7,619,6.9,6,0.87,29,23,79.3,4,1,1,2,28.6,0,0,0,,6.4,0.22,0.4,0.06,13,29,44.8,160,45,12.5,25.1,36,25,26.5,3,3.4,5,0.73,14.6
Illan Meslier,FRA,GK,Leeds United,Premier League,21,2000,38,38,3384,37.6,79,2.1,220,142,66.4,9,11,18,5,13.2,5,5,0,0,61.8,0.26,-16.2,-0.43,108,410,26.3,1101,274,27.5,29.3,288,37.2,33.3,23,5.3,45,1.2,14.2
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,24,1997,27,27,2430,27,33,1.22,80,46,67.5,9,7,11,4,14.8,8,7,1,12.5,26.7,0.24,-6.3,-0.23,192,659,29.1,849,97,59.5,44.4,169,91.1,66.3,18,6.2,22,0.81,14.3
Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,25,1996,34,34,3060,34,50,1.47,137,88,65,13,10,11,4,11.8,3,2,1,33.3,40.6,0.28,-7.4,-0.22,189,577,32.8,733,120,57.2,42.3,231,68.4,46.5,21,4.2,23,0.68,13.1
Jessy Moulin,FRA,GK,Troyes,Ligue 1,35,1986,7,7,630,7,8,1.14,24,16,75,1,3,3,1,14.3,2,2,0,0,7.8,0.25,-0.2,-0.02,32,97,33,164,40,37.8,35.7,75,46.7,37.7,11,10.1,9,1.29,11.4
Florian Müller,GER,GK,Stuttgart,Bundesliga,23,1997,30,30,2700,30,52,1.73,139,88,65.5,7,10,13,4,13.3,4,4,0,0,46.3,0.31,-4.7,-0.16,92,235,39.1,773,152,21.2,27.3,240,29.6,30.7,17,3.8,37,1.23,15.4
